_id,Programme,University,Programme_Fee,Country,Address,Latitude,Longitude
2127,MA in Education: Curriculum and Instruction,York College Online,250,USA,"York College, 1125 E 8th St., NE 68467, York",-97.579797,40.868721
2128,Master of Arts in Theology and Ministry,Welch College,450,USA,"3606 West End Avenue Nashville, Tennessee 37205, 37205, Nashville",-86.826993,36.134994
2129,Master of Science in Systems Technology Online,University of Louisiana at Lafayette College of Engineering,/,USA,"Rex Street,131, 70503, Lafayette",-92.0211088,30.2115378
2130,Counselor Education Master's Program,University of Louisiana at Lafayette College of Education,/,USA,"East University Avenue,104, 70504, Lafayette",-92.01930628,30.21446734
2131,The Master of Education (M.Ed.),University of Louisiana at Lafayette College of Education,/,USA,"East University Avenue,104, 70504, Lafayette",-92.01930628,30.21446734
2132,Master of Science in Civil Engineering,University of Nebraska-Lincoln,/,USA,"R Street,1400, 68588, Lincoln",-96.69909296,40.81931936
2133,Master of Science in Electrical Engineering,University of Nebraska-Lincoln,/,USA,"R Street,1400, 68588, Lincoln",-96.69909296,40.81931936
2134,Master of Arts in Political Science,University of Nebraska-Lincoln,/,USA,"R Street,1400, 68588, Lincoln",-96.69909296,40.81931936
2135,Master's in Environmental Resource Science,University of Louisiana at Lafayette College of Sciences,/,USA,"East University Avenue,104, 70504, Lafayette",-92.0190917,30.2153203
2136,Master of Public Health,Texas A&M University School of Public Health,/,USA,"212 Adriance Lab Rd College Station, , College Station",-96.35398483,30.60962131
2137,Master of Health Administration (MHA),Texas A&M University School of Public Health,/,USA,"212 Adriance Lab Rd College Station, , College Station",-96.35398483,30.60962131
2138,Master in Architectural Engineering (M.S.),Kansas State University Manhattan Campus,/,USA,", 66506, Manhattan",-96.581008,39.1998042
2139,Master in Animal Science,Kansas State University Manhattan Campus,/,USA,", 66506, Manhattan",-96.581008,39.1998042
2140,Master of Accountancy (M.ACC),Kansas State University Manhattan Campus,/,USA,", 66506, Manhattan",-96.581008,39.1998042
2141,Master of Music Performance,University of Louisiana at Lafayette College of the Arts,/,USA,"East University Avenue,104, 70504, Lafayette",-92.0190917,30.2153203
2142,Master of Architecture,University of Louisiana at Lafayette College of the Arts,/,USA,"East University Avenue,104, 70504, Lafayette",-92.0190917,30.2153203
2143,Master Work in Instrumental Conducting,University of Louisiana at Lafayette College of the Arts,/,USA,"East University Avenue,104, 70504, Lafayette",-92.0190917,30.2153203
2144,Master's in Geology,University of Louisiana at Lafayette College of Sciences,/,USA,"East University Avenue,104, 70504, Lafayette",-92.0190917,30.2153203
2145,Master of Science in Accounting Online,UNIVERSITY OF LOUISIANA AT LAFAYETTE B.I. MOODY III COLLEGE OF BUSINESS ADMINISTRATION,/,USA,"East University Avenue,104, 70504, Lafayette",-92.01969251,30.21383689
2146,Online Masters of Science in Accounting and Taxation,University of Hartford Online,/,USA,"200 Bloomfield Avenue West Hartford, CT 06117, , Hartford",-72.7137736,41.798249
2147,MEd in Special Education,University of Hartford Online,/,USA,"200 Bloomfield Avenue West Hartford, CT 06117, , Hartford",-72.7137736,41.798249
2148,Master of Science in Organizational Psychology,University of Hartford Online,/,USA,"200 Bloomfield Avenue West Hartford, CT 06117, , Hartford",-72.7137736,41.798249
2149,Master of Human Resources & Industrial Relations,University of Minnesota - Carlson School Of Management,/,USA,"19th Avenue South,321, 55455, Minneapolis",-93.2447281,44.9703991
2150,Full-Time MBA,University of Minnesota - Carlson School Of Management,/,USA,"19th Avenue South,321, 55455, Minneapolis",-93.2447281,44.9703991
2151,MA Higher Education,Caldwell University Online,675,USA,"Caldwell University, 120 Bloomfield Avenue, NJ 07006, Caldwell",-74.2765366,40.8398218
2152,Master of Science in Computer Science,University of Louisiana at Lafayette Online,/,USA,"Johnston Street,2250, 70506, Lafayette",-92.0315858,30.2103843
2153,Master of Science in Dietetics (distance program),University of Nebraska-Lincoln College of Education and Human Sciences,/,USA,", , Lincoln",-96.69943629,40.81873477
2154,Master of Arts in Counseling Psychology,University of Nebraska-Lincoln College of Education and Human Sciences,/,USA,", , Lincoln",-96.69943629,40.81873477
2155,Master of Arts in Educational Administration - Higher Education Administration,University of Nebraska-Lincoln College of Education and Human Sciences,/,USA,", , Lincoln",-96.69943629,40.81873477
2156,Master of Science in Biology,University of Louisiana at Lafayette College of Sciences,/,USA,"East University Avenue,104, 70504, Lafayette",-92.0190917,30.2153203
2157,Master of Science in Nursing,University of Louisiana at Lafayette Online,/,USA,"Johnston Street,2250, 70506, Lafayette",-92.0315858,30.2103843
2158,Master of Education (MEd) Initial Teacher Certification,Holy Family University School of Education,/,USA,"Frankford Avenue,9801, 19114, Philadelphia",-74.9886069,40.0592303
2159,Master of Education (MEd) Certified Teacher Additional Certifications,Holy Family University School of Education,/,USA,"Frankford Avenue,9801, 19114, Philadelphia",-74.9886069,40.0592303
2160,Master of Science in Finance,University of Alabama Culverhouse College of Business,14615,USA,"361 Stadium Dr Tuscaloosa, AL 35487, , Tuscaloosa",-87.5490236,33.21213841
2161,Master of Science in Accountancy (MSA),Holy Family University  School of Business Administration,/,USA,"Frankford Avenue,9801, 19114, Philadelphia",-74.9886069,40.0592303
2162,MS in Organizational Leadership,Holy Family University  School of Business Administration,/,USA,"Frankford Avenue,9801, 19114, Philadelphia",-74.9886069,40.0592303
2163,Master of Arts in Counseling Psychology,Santa Clara University - School Of Education & Counseling Psychology,607,USA,"Santa Clara University School of Education and Counseling Psychology Guadalupe Hall 455 El Camino Real, 95050, Santa Clara",-121.9342039,37.3507574
2164,Master of Arts in Teaching + Teaching Credential (MATTC),Santa Clara University - School Of Education & Counseling Psychology,607,USA,"Santa Clara University School of Education and Counseling Psychology Guadalupe Hall 455 El Camino Real, 95050, Santa Clara",-121.9342039,37.3507574
2165,Master of Arts in Educational Leadership,Santa Clara University - School Of Education & Counseling Psychology,607,USA,"Santa Clara University School of Education and Counseling Psychology Guadalupe Hall 455 El Camino Real, 95050, Santa Clara",-121.9342039,37.3507574
2166,M.S. Nuclear Engineering,University of Idaho,/,USA,"Perimeter Drive,875, 83844, Moscow",-117.0239019,46.7274712
2167,Master of Science in Psychology: Human Factors,University of Idaho,/,USA,"Perimeter Drive,875, 83844, Moscow",-117.0239019,46.7274712
2168,Master of Arts in Criminal Justice (CJMA),Holy Family University School of Arts & Sciences,/,USA,"Frankford Avenue,9801, 19114, Philadelphia",-74.9886069,40.0592303
2169,Master of Science in Counseling Psychology,Holy Family University School of Arts & Sciences,/,USA,"Frankford Avenue,9801, 19114, Philadelphia",-74.9886069,40.0592303
2170,Master of Arts in American Studies,Seaver College / Pepperdine University,/,USA,", 90265, Malibu",-118.7797531,34.02590382
2171,Master of Arts in Teaching (MAT),Reinhardt University,/,USA,", 30183, Waleska",-84.5521524,34.3164826
2172,Master of Public Administration,Reinhardt University,/,USA,", 30183, Waleska",-84.5521524,34.3164826
2173,Master of Fine Arts in Screenwriting,Seaver College / Pepperdine University,/,USA,", 90265, Malibu",-118.7797531,34.02590382
2174,Master of Science in Nursing (Online),Ferris State University,/,USA,"South State Street,1201, 49307, Big Rapids",-85.4820277,43.6844327
2175,Master of Science in Criminal Justice Administration,Ferris State University,/,USA,"South State Street,1201, 49307, Big Rapids",-85.4820277,43.6844327
2176,Master's of Public Health (MPH),Ferris State University,/,USA,"South State Street,1201, 49307, Big Rapids",-85.4820277,43.6844327
2177,Master of Accountancy,Rocky Mountain College,/,USA,"1511 Poly Drive Billings, , Billings",-108.5582364,45.79686048
2178,Master of Educational Leadership,Rocky Mountain College,9975,USA,"1511 Poly Drive Billings, , Billings",-108.5582364,45.79686048
2179,Master of Public Administration (MPA),California State University Dominguez Hills,/,USA,"East Victoria Street,900, 90747, Carson",-118.2557791,33.86433425
2180,Master of Science Systems Engineering Online,California State University Dominguez Hills,/,USA,"East Victoria Street,900, 90747, Carson",-118.2557791,33.86433425
2181,MASTER OF ARTS IN PSYCHOLOGY,California State University Dominguez Hills,/,USA,"East Victoria Street,900, 90747, Carson",-118.2557791,33.86433425
2182,Master of Science in Economics,Purdue University,/,USA,"Purdue Mall,610, 47907, West Lafayette",-86.9143911,40.428246
2183,Master of Science in Marketing,Purdue University,/,USA,"Purdue Mall,610, 47907, West Lafayette",-86.9143911,40.428246
2184,Master of Science in Nursing (online),Concordia University Ann Arbor Michigan,/,USA,"Geddes Road,4090, 48105, Ann Arbor",-83.6823524,42.274529
2185,MBA in Health Care Administration for Practitioners,Concordia University Ann Arbor Michigan,/,USA,"Geddes Road,4090, 48105, Ann Arbor",-83.6823524,42.274529
2186,Master of Science in Computer Science,Concordia University Ann Arbor Michigan,/,USA,"Geddes Road,4090, 48105, Ann Arbor",-83.6823524,42.274529
2187,MS in Accounting (University of North Carolina at Greensboro),UNC System International Recruitment Consortium,/,USA,"910 Raleigh Road, 27514, Chapel Hill",-79.0558445,35.9131996
2188,MS Biotechnology/MBA Dual Degree,"California State University, Channel Islands",/,USA,"University Drive,1, 93012, Camarillo",-119.0438107,34.1618745
2189,Master of Arts in Education,"California State University, Channel Islands",/,USA,"University Drive,1, 93012, Camarillo",-119.0438107,34.1618745
2190,M. S. in Bioagricultural Sciences,Colorado State University College of Agricultural Sciences,/,USA,"University Avenue,301, 80523, Fort Collins",-105.080833,40.573248
2191,M.S. in Horticulture,Colorado State University College of Agricultural Sciences,/,USA,"University Avenue,301, 80523, Fort Collins",-105.080833,40.573248
2192,Master of Science (M.S.) in Agricultural and Resource Economics,Colorado State University College of Agricultural Sciences,/,USA,"University Avenue,301, 80523, Fort Collins",-105.080833,40.573248
2193,Online Master of Science in Data Science Program,The Daniel Felix Ritchie School of Engineering and Computer Science,/,USA,"South University Boulevard,2199, 80208, Denver",-104.9614844,39.6766368
2194,Materials Science MS Program of Study,University of Utah College of Engineering,/,USA,"Presidents' Circle,201, 84112, Salt Lake City",-111.8462089,40.76403817
2195,MS Civil Engineering,University of Utah College of Engineering,/,USA,"Presidents' Circle,201, 84112, Salt Lake City",-111.8462089,40.76403817
2196,COMBINED MS / MBA PROGRAM,University of Utah College of Engineering,/,USA,"Presidents' Circle,201, 84112, Salt Lake City",-111.8462089,40.76403817
2197,Master of Science in Human Nutrition and Dietetics,Metropolitan State University Of Denver,/,USA,"Auraria Parkway,890, 80204, Denver",-105.0066647,39.74412864
2198,Master of Science in Cybersecurity,Metropolitan State University Of Denver,/,USA,"Auraria Parkway,890, 80204, Denver",-105.0066647,39.74412864
2199,Master of Business Administration (MBA),Metropolitan State University Of Denver,/,USA,"Auraria Parkway,890, 80204, Denver",-105.0066647,39.74412864
2200,Master of Science (MS) in Health and Social Innovation,University Of Maryland Baltimore,635,USA,"West Lexington Street,620, 21201, Baltimore",-76.6246107,39.2916414
2201,Master of Arts in Education,Dakota Wesleyan University Online,/,USA,"Dakota Wesleyan University 1200 W. University Ave Mitchell, SD 57301, , Mitchell",-98.0311417,43.7008805
2202,M.A. in English,UNIVERSITY OF LOUISIANA AT LAFAYETTE COLLEGE OF LIBERAL ARTS,/,USA,"East University Avenue,104, 70504, Lafayette",-92.0190917,30.2153203
2203,MA in Organizational Leadership,Western Kentucky University College of Education and Behavioral Sciences,/,USA,", 42101, Bowling Green",-86.4808043,36.9685219
2204,MAE - The Gifted and Talented Endorsement,Western Kentucky University College of Education and Behavioral Sciences,/,USA,", 42101, Bowling Green",-86.4808043,36.9685219
2205,M.A. in English,Western Kentucky University Potter College of Arts and Letters,/,USA,", 42101, Bowling Green",-86.4808043,36.9685219
2206,The Master of Public Administration (MPA),Western Kentucky University Potter College of Arts and Letters,/,USA,", 42101, Bowling Green",-86.4808043,36.9685219
2207,Master of Management in Clinical Informatics,Duke University School of Medicine,/,USA,"Tower Boulevard,3100, 27707, Durham",-78.9592719,35.9716577
2208,Master of Arts in History,Duke University Trinity College of Arts and Sciences,/,USA,", 27708, Durham",-78.9472089,35.9992263
2209,Master's Programs in Political Science,Duke University Trinity College of Arts and Sciences,/,USA,", 27708, Durham",-78.9472089,35.9992263
2210,M.S. in Electrical and Computer Engineering,Duke University Trinity College of Arts and Sciences,/,USA,", 27708, Durham",-78.9472089,35.9992263
2211,Applied Economics & Finance (M.S.),University of California Santa Cruz UCSC,/,USA,"High Street,1156, 95064, Santa Cruz",-122.054164,36.9834126
2212,Computer Engineering (M.S.),University of California Santa Cruz UCSC,/,USA,"High Street,1156, 95064, Santa Cruz",-122.054164,36.9834126
2213,Electrical and Computer Engineering M.S.,University of California Santa Cruz Jack Baskin School of Engineering,/,USA,"High Street,1156, 95064, Santa Cruz",-122.054164,36.9834126
2214,M.S. program in scientific computing and applied mathematics (SciCAM),University of California Santa Cruz Jack Baskin School of Engineering,/,USA,"High Street,1156, 95064, Santa Cruz",-122.054164,36.9834126
2215,Statistical Science MS,University of California Santa Cruz Jack Baskin School of Engineering,/,USA,"High Street,1156, 95064, Santa Cruz",-122.054164,36.9834126
2216,Master of Public Administration MPA,Metropolitan State University Saint Paul,/,USA,"East 7th Street,700, 55106, Saint Paul",-93.0740906,44.9574816
2217,Master of Science in Management Information Systems MS in MIS,Metropolitan State University Saint Paul,/,USA,"East 7th Street,700, 55106, Saint Paul",-93.0740906,44.9574816
2218,MASTER OF BIOSTATISTICS,Duke University School of Medicine,/,USA,"Tower Boulevard,3100, 27707, Durham",-78.9592719,35.9716577
2219,MANUFACTURING ENGINEERING: GRADUATE,Missouri University of Science and Technology,/,USA,"West 13th Street,300, 65409, Rolla",-91.77133548,37.95391929
2220,GRADUATE STUDIES IN AEROSPACE ENGINEERING,Missouri University of Science and Technology,/,USA,"West 13th Street,300, 65409, Rolla",-91.77133548,37.95391929
2221,Electrical and Computer Engineering,Missouri University of Science and Technology,/,USA,"West 13th Street,300, 65409, Rolla",-91.77133548,37.95391929
2222,Art Studio (M.A.),Indiana State University College of Arts and Sciences,/,USA,"Chestnut Street,621, 47809, Terre Haute",-87.4091068,39.4702654
2223,Fine Art (M.F.A.),Indiana State University College of Arts and Sciences,/,USA,"Chestnut Street,621, 47809, Terre Haute",-87.4091068,39.4702654
2224,MFA in Digital Media,Indiana State University College of Arts and Sciences,/,USA,"Chestnut Street,621, 47809, Terre Haute",-87.4091068,39.4702654
2225,Master of Science in Strategic Finance,Indiana University Southeast,/,USA,"Grant Line Rd,4201, 47150, New Albany",-85.8194855,38.347053
2226,COMPUTER SCIENCE (MS),Texas A&M University Commerce College of Science and Engineering,/,USA,"Campbell Street,2200, 75428, Commerce",-95.904614,33.2421023
2227,TECHNOLOGY MANAGEMENT (MS),Texas A&M University Commerce College of Science and Engineering,/,USA,"Campbell Street,2200, 75428, Commerce",-95.904614,33.2421023
2228,Master of Science in Education,Southern Adventist University,/,USA,"Taylor Circle,4881, 37315, Collegedale",-85.05012146,35.04772235
2229,Master of Science in Computer Science,Southern Adventist University,/,USA,"Taylor Circle,4881, 37315, Collegedale",-85.05012146,35.04772235
2230,Master of Science in Accounting,Elon University,/,USA,"Campus Drive,50, 27244, Elon",-79.50315572,36.10541639
2231,The Elon Master in Education,Elon University,/,USA,"Campus Drive,50, 27244, Elon",-79.50315572,36.10541639
2232,Master of Arts in Higher Education,Elon University,/,USA,"Campus Drive,50, 27244, Elon",-79.50315572,36.10541639
2233,International Master of Environmental Policy,Duke University Nicholas School of the Environment,/,USA,"Circuit Drive,9, 27710, Durham",-78.9426572,36.0046406
2234,Master of Forestry,Duke University Nicholas School of the Environment,/,USA,"Circuit Drive,9, 27710, Durham",-78.9426572,36.0046406
2235,Master of Environmental Management,Duke University Nicholas School of the Environment,/,USA,"Circuit Drive,9, 27710, Durham",-78.9426572,36.0046406
2236,Master of Laws (LLM),Duke University School of Law,/,USA,"Science Drive,210, 27708, Durham",-78.9453315,36.0000417
2237,Master of Public Policy,Duke University Sanford School of Public Policy,/,USA,"Science Drive,201, 27708, Durham",-78.9439439,35.9993892
2238,International Master of Environmental Policy,Duke University Sanford School of Public Policy,/,USA,"Science Drive,201, 27708, Durham",-78.9439439,35.9993892
2239,International Master of Environmental Policy,Duke University Sanford School of Public Policy,/,USA,"Science Drive,201, 27708, Durham",-78.9439439,35.9993892
2240,Graduate Program in Environmental Engineering,Colorado State University Walter Scott Jr College of Engineering,/,USA,"Research Boulevard,2545, 80526, Fort Collins",-105.0866585,40.5531717
2241,Materials Science and Engineering Graduate Program,Colorado State University Walter Scott Jr College of Engineering,/,USA,"Research Boulevard,2545, 80526, Fort Collins",-105.0866585,40.5531717
2242,Master of Engineering,Colorado State University Walter Scott Jr College of Engineering,/,USA,"Research Boulevard,2545, 80526, Fort Collins",-105.0866585,40.5531717
2243,M.A. in Applied Economics,Western Kentucky University Gordon Ford College of Business,/,USA,", 42101, Bowling Green",-86.4808043,36.9685219
2244,Master of Accountancy (MAcc),Western Kentucky University Gordon Ford College of Business,/,USA,", 42101, Bowling Green",-86.4808043,36.9685219
2245,Master of Science: Agriculture,Western Kentucky University Ogden College of Science and Engineering,/,USA,", 42101, Bowling Green",-86.4808043,36.9685219
2246,Master of Science Computer Science,Western Kentucky University Ogden College of Science and Engineering,/,USA,", 42101, Bowling Green",-86.4808043,36.9685219
2247,Master of Arts in Organizational Communication,Western Kentucky University Potter College of Arts and Letters,/,USA,", 42101, Bowling Green",-86.4808043,36.9685219
2248,Master of Science in Biology,Western Kentucky University Ogden College of Science and Engineering,/,USA,", 42101, Bowling Green",-86.4808043,36.9685219
2249,Online master's in industrial/organizational psychology,Colorado State University College of Natural Sciences,/,USA,"Research Boulevard,2545, 80526, Fort Collins",-105.0866585,40.5531717
2250,MASTER IN STATISTICS,Colorado State University College of Natural Sciences,/,USA,"Research Boulevard,2545, 80526, Fort Collins",-105.0866585,40.5531717
2251,MASTER OF SCIENCE IN ENVIRONMENTAL HEALTH,Colorado State University College of Veterinary Medicine and Biomedical Sciences,/,USA,"Research Boulevard,2545, 80526, Fort Collins",-105.0866585,40.5531717
2252,MASTER OF SCIENCE IN BIOMEDICAL SCIENCES,Colorado State University College of Veterinary Medicine and Biomedical Sciences,/,USA,"Research Boulevard,2545, 80526, Fort Collins",-105.0866585,40.5531717
2253,MASTER OF SCIENCE IN CLINICAL SCIENCES,Colorado State University College of Veterinary Medicine and Biomedical Sciences,/,USA,"Research Boulevard,2545, 80526, Fort Collins",-105.0866585,40.5531717
2254,M.S. in Construction Management,Colorado State University College of Health and Human Sciences,/,USA,"Research Boulevard,2545, 80526, Fort Collins",-105.0866585,40.5531717
2255,M.Ed. in Education and Human Resource Studies,Colorado State University College of Health and Human Sciences,/,USA,"Research Boulevard,2545, 80526, Fort Collins",-105.0866585,40.5531717
2256,MA Criminal Justice,Columbia College,/,USA,"1301 Columbia College Drive Columbia, SC 29203, , USA Online",-81.030911,34.045537
2257,Master of Public Health,Cornell University,/,USA,", 14850, Ithaca",-76.5018807,42.4439614
2258,Master of Public Administration,Cornell University,/,USA,", 14850, Ithaca",-76.5018807,42.4439614
2259,Master of Health Administration,Cornell University,/,USA,", 14850, Ithaca",-76.5018807,42.4439614
2260,Master of Science in Marketing Analytics,Pacific Lutheran University,/,USA,"Park Avenue South,12180, 98447, Tacoma",-122.4436669,47.1451931
2261,Master of Science in Finance,Pacific Lutheran University,/,USA,"Park Avenue South,12180, 98447, Tacoma",-122.4436669,47.1451931
2262,Master of Science (M.S.) in Computer & Information Systems Engineering,Tennessee State University,/,USA,"John A Merritt Boulevard,3500, 37209, Nashville",-86.82570481,36.16810978
2263,Masters of Science in Counseling Psychology (M.S.),Tennessee State University,/,USA,"John A Merritt Boulevard,3500, 37209, Nashville",-86.82570481,36.16810978
2264,"Master of Education, Instructional Leadership",Tennessee State University,/,USA,"John A Merritt Boulevard,3500, 37209, Nashville",-86.82570481,36.16810978
2265,M.S. in Ecology,Western State Colorado University,/,USA,"Western Way,1, 81231, Gunnison",-106.9179434,38.547862
2266,M.A. in Education,Western State Colorado University,/,USA,"Western Way,1, 81231, Gunnison",-106.9179434,38.547862
2267,Master in Environmental Management (MEM),Western State Colorado University,/,USA,"Western Way,1, 81231, Gunnison",-106.9179434,38.547862
2268,MS in Cybersecurity Engineering,Embry-Riddle Aeronautical University,/,USA,"Aerospace Boulevard,1, 32114, Daytona Beach",-81.05009789,29.1873198
2269,MS in Mechanical Engineering,Embry-Riddle Aeronautical University,/,USA,"Aerospace Boulevard,1, 32114, Daytona Beach",-81.05009789,29.1873198
2270,MS in Logistics and Supply Chain Management,Embry-Riddle Aeronautical University,/,USA,"Aerospace Boulevard,1, 32114, Daytona Beach",-81.05009789,29.1873198
2271,MA in Public Affairs,Indiana University of Pennsylvania,/,USA,"South Drive,1011, 15705, Indiana",-79.1614669,40.6140124
2272,Food and Nutrition Master of Science Program Online,Indiana University of Pennsylvania,/,USA,"South Drive,1011, 15705, Indiana",-79.1614669,40.6140124
2273,MASTER OF SCIENCE IN MANAGEMENT,University of Holy Cross,/,USA,"Woodland Drive,4123, 70131, New Orleans",-89.9944626,29.912251
2274,M.Ed. in Teaching and Learning,University of Holy Cross,/,USA,"Woodland Drive,4123, 70131, New Orleans",-89.9944626,29.912251
2275,Master's Degree in Educational Leadership,University of Holy Cross,/,USA,"Woodland Drive,4123, 70131, New Orleans",-89.9944626,29.912251
2276,Master of Science in Athletic Training Practice,Rocky Mountain University of Health Professions,/,USA,"East 1700 South,122, 84606, Provo",-111.6561977,40.2116939
2277,Master of Science in School Counseling,Rocky Mountain University of Health Professions,/,USA,"East 1700 South,122, 84606, Provo",-111.6561977,40.2116939
2278,Master of Science in Big Data Analytics,St. Thomas University Florida,/,USA,"Northwest 37th Avenue,16401, 33054, Miami Gardens",-80.258063,25.9237724
2279,Master of International Business,St. Thomas University Florida,/,USA,"Northwest 37th Avenue,16401, 33054, Miami Gardens",-80.258063,25.9237724
2280,Industrial Engineering MEng,OPEN SUNY Online - The State University of New York,/,USA,"West 38th Street,262, 10018, New York",-73.9911294,40.7542826
2281,MASTER OF SCIENCE IN INTEGRATIVE BIOLOGICAL DIVERSITY,Western Connecticut State University,/,USA,"White Street,181, 06810, Danbury",-73.446533,41.400054
2282,Master of Arts in Philosophy,University of California Santa Cruz UCSC,/,USA,"High Street,1156, 95064, Santa Cruz",-122.054164,36.9834126
2283,"Masters of Global Communication & Applied Translation A three-semester masters program for translation, localization, and global communication.",Carnegie Mellon University Dietrich College of Humanities and Social Sciences,/,USA,"Forbes Avenue,5000, 15213, Pittsburgh",-79.9433725,40.4441647
2284,Master of Software Engineering MSE for Professionals,Carnegie Mellon University School of Computer Science,/,USA,"Forbes Avenue,5000, 15213, Pittsburgh",-79.9433725,40.4441647
2285,Master of Science in Artificial Intelligence and Innovation,Carnegie Mellon University School of Computer Science,/,USA,"Forbes Avenue,5000, 15213, Pittsburgh",-79.9433725,40.4441647
2286,Master of Information Technology Strategy (MITS),Carnegie Mellon University Dietrich College of Humanities and Social Sciences,/,USA,"Forbes Avenue,5000, 15213, Pittsburgh",-79.9433725,40.4441647
2287,Master of Science in Robotics,Carnegie Mellon University School of Computer Science,/,USA,"Forbes Avenue,5000, 15213, Pittsburgh",-79.9433725,40.4441647
2288,Master of Science in Accountancy,California State University Sacramento  College Of Continuing Education (ONLINE),/,USA,"J Street,6000, 95819, Sacramento",-121.4252955,38.5642453
2289,The Master's of Fine Arts in Studio Art,California State University San Bernardino  College of Arts and Letters,/,USA,"University Parkway,5500, 92407, San Bernardino",-117.3215307,34.1813145
2290,Master of Science in Computer Science,California State University San Bernardino College of Natural Sciences,/,USA,"University Parkway,5500, 92407, San Bernardino",-117.3215307,34.1813145
2291,M.S. in Environmental Sciences,California State University San Bernardino College of Natural Sciences,/,USA,"University Parkway,5500, 92407, San Bernardino",-117.3215307,34.1813145
2292,Master of Design,Carnegie Mellon University  School of Design,/,USA,"Forbes Avenue,5000, 15213, Pittsburgh",-79.9433725,40.4441647
2293,Master of Arts in Design,Carnegie Mellon University  School of Design,/,USA,"Forbes Avenue,5000, 15213, Pittsburgh",-79.9433725,40.4441647
2294,Master of Science in International Relations and Politics (MS IRP),Carnegie Mellon University Dietrich College of Humanities and Social Sciences,/,USA,"Forbes Avenue,5000, 15213, Pittsburgh",-79.9433725,40.4441647
2295,"Spanish Language Teaching, MA",Southern Oregon University,/,USA,"Siskiyou Boulevard,1250, 97520, Ashland",-122.6944886,42.1857969
2296,Master of Arts in Teaching ??? MAT,Southern Oregon University,/,USA,"Siskiyou Boulevard,1250, 97520, Ashland",-122.6944886,42.1857969
2297,Master of Science (MS) in Accounting,Texas A&M University Central Texas College of Education,/,USA,"Leadership Place,1001, 76549, Killeen",-97.7738733,31.0528146
2298,Master of Environmental Design,Yale University,/,USA,", 06520, New Haven",-72.9310217,41.3064267
2299,Graduate Study Electrical Engineering,Yale University,/,USA,", 06520, New Haven",-72.9310217,41.3064267
2300,Master of Science Chemical Engineering,Bucknell University College of Engineering,/,USA,"Dent Drive,One, 17837, Lewisburg",-76.8850759,40.9547722
2301,The Graduate Program in Film and Media Studies,Yale University,/,USA,", 06520, New Haven",-72.9310217,41.3064267
2302,Master of Advanced Management,Yale University School of Management,/,USA,"Whitney Avenue,165, 06511, New Haven",-72.9203459,41.3149405
2303,Master???s Degree in Systemic Risk,Yale University School of Management,/,USA,"Whitney Avenue,165, 06511, New Haven",-72.9203459,41.3149405
2304,MFA in Visual Communication ??? Dallas,"Texas A&M University Commerce College of Humanities, Social Sciences & Arts",/,USA,"Campbell Street,2200, 75428, Commerce",-95.904614,33.2421023
2305,MASTER???S IN APPLIED CRIMINOLOGY,"Texas A&M University Commerce College of Humanities, Social Sciences & Arts",/,USA,"Campbell Street,2200, 75428, Commerce",-95.904614,33.2421023
2306,Political Science MA/MS,"Texas A&M University Commerce College of Humanities, Social Sciences & Arts",/,USA,"Campbell Street,2200, 75428, Commerce",-95.904614,33.2421023
2307,Theology MASTER OF ARTS,Ave Maria University,/,USA,"Avenue Maria Boulevard,5050, 34142, Ave Maria",-81.4372098,26.3366663
2308,Master of Public Health,University of New Mexico College of Nursing,/,USA,"Marble Avenue,2502, 87131, Albuquerque",-106.617268,35.0903842
2309,Master of Architecture,"University of Nevada, Las Vegas College of Fine Arts",/,USA,"South Maryland Parkway,4505, 89154, Las Vegas",-115.1444487,36.1065217
2310,Master of Science (M.S.) in Clinical Mental Health Counseling,"University of Nevada, Las Vegas College of Education",/,USA,", 89154, 4505",-115.1421427,36.1096315
2311,Master of Design,"University of Nevada, Las Vegas College of Fine Arts",/,USA,"South Maryland Parkway,4505, 89154, Las Vegas",-115.1444487,36.1065217
2312,Master of Education - Special Education,"University of Nevada, Las Vegas College of Education",/,USA,", 89154, 4505",-115.1421427,36.1096315
2313,Master of Education - Early Childhood Education,"University of Nevada, Las Vegas College of Education",/,USA,", 89154, 4505",-115.1421427,36.1096315
2314,Master of Arts - Political Science,"University of Nevada, Las Vegas College of Liberal Arts",/,USA,"South Maryland Parkway,4505, 89154, Las Vegas",-115.1444487,36.1065217
2315,Master of Arts (MA) in Theatre & Dance,University of New Mexico - College of Fine Arts,/,USA,", 87131, Albuquerque",-106.62,35.09
2316,Master of Fine Arts (MFA) in Art Studio,University of New Mexico - College of Fine Arts,/,USA,", 87131, Albuquerque",-106.62,35.09
2317,Graduate Minor in Arts Leadership and Business,University of New Mexico - College of Fine Arts,/,USA,", 87131, Albuquerque",-106.62,35.09
2318,MSF MASTER OF SCIENCE IN FINANCE DEGREE,University Of St. Thomas Houston Cameron School Of Business,/,USA,"Yoakum Boulevard,3812, 77006, Houston",-95.3929326,29.7381532
2319,MIB MASTER OF INTERNATIONAL BUSINESS DEGREE,University Of St. Thomas Houston Cameron School Of Business,/,USA,"Yoakum Boulevard,3812, 77006, Houston",-95.3929326,29.7381532
2320,"Civil and Infrastructure Engineering, MS",George Mason University Volgenau School of Engineering,/,USA,"Innovation Drive,9485, 20110, Manassas",-77.5222959,38.7517596
